t (s),V (mV)
0,14.689
1.035,14.6819
2.034,14.6699
3.034,14.6583
4.035,14.6462
5.035,14.6358
6.035,14.6234
7.035,14.6124
8.034,14.6011
9.034,14.5889
10.034,14.5765
11.035,14.5651
12.035,14.5524
13.034,14.5394
14.034,14.5274
15.034,14.5147
16.035,14.5026
17.034,14.49
18.034,14.4775
19.035,14.4649
20.035,14.4526
21.034,14.4399
22.035,14.4258
23.035,14.4133
24.035,14.4018
25.035,14.3886
26.035,14.3764
27.034,14.3638
28.034,14.3515
29.035,14.3391
30.035,14.3262
31.035,14.3142
32.034,14.3018
33.034,14.2894
34.034,14.2771
35.034,14.2651
36.034,14.2513
37.034,14.241
38.035,14.2294
39.034,14.2154
40.034,14.2033
41.034,14.1912
42.035,14.1789
43.035,14.1676
44.035,14.1546
45.035,14.1418
46.035,14.1297
47.034,14.1179
48.034,14.1046
49.034,14.0927
50.035,14.0803
51.034,14.0679
52.035,14.0564
53.034,14.0459
54.034,14.0319
55.034,14.0218
56.035,14.0079
57.034,13.9966
58.035,13.9836
59.034,13.9719
60.035,13.959
61.035,13.9469
62.034,13.935
63.035,13.9228
64.035,13.9111
65.034,13.8994
66.034,13.8865
67.034,13.8748
68.035,13.8633
69.035,13.8516
70.034,13.8403
71.034,13.8276
72.035,13.8153
73.034,13.8031
74.034,13.7914
75.034,13.7796
76.034,13.7675
77.034,13.7551
78.034,13.743
79.034,13.7329
80.034,13.72
81.034,13.7087
82.034,13.6963
83.035,13.6848
84.035,13.6716
85.035,13.6613
86.035,13.6488
87.035,13.6371
88.035,13.6254
89.034,13.6134
90.034,13.6026
91.034,13.5907
92.035,13.5791
93.035,13.5669
94.035,13.5557
95.035,13.5439
96.034,13.5327
97.034,13.5211
98.035,13.5094
99.035,13.498
100.034,13.4856
101.035,13.474
102.034,13.4625
103.034,13.4515
104.035,13.4395
105.035,13.4279
106.034,13.4174
107.034,13.4048
108.035,13.3944
109.034,13.3832
110.034,13.373
111.035,13.3595
112.035,13.3465
113.034,13.3403
114.035,13.3275
115.034,13.3154
116.034,13.3043
117.034,13.293
118.034,13.2797
119.035,13.2692
120.035,13.2579
121.034,13.2474
122.035,13.2361
123.034,13.2245
124.035,13.2144
125.035,13.2037
126.035,13.1923
127.035,13.1799
128.034,13.1702
129.035,13.1583
130.034,13.1472
131.035,13.1372
132.034,13.1258
133.035,13.1137
134.034,13.1028
135.035,13.0915
136.034,13.0807
137.035,13.0686
138.034,13.0573
139.035,13.0465
140.034,13.0355
141.035,13.0243
142.034,13.0132
143.035,13.0021
