t (s),V (mV)
0,15.6994
0.975,15.6931
1.912,15.6866
2.851,15.6805
3.822,15.6779
4.802,15.6711
5.802,15.6633
6.801,15.6565
7.801,15.6477
8.802,15.6405
9.801,15.6326
10.802,15.624
11.801,15.6164
12.801,15.6073
13.801,15.5993
14.802,15.5917
15.801,15.5823
16.801,15.5739
17.801,15.5655
18.801,15.5577
19.801,15.5481
20.801,15.5396
21.801,15.5296
22.801,15.5214
23.802,15.5119
24.801,15.5039
25.801,15.4945
26.801,15.4852
27.801,15.4756
28.801,15.4678
29.802,15.4588
30.802,15.4503
31.801,15.4405
32.802,15.4325
33.801,15.4234
34.801,15.4146
35.802,15.4065
36.802,15.3986
37.801,15.3886
38.801,15.3803
39.801,15.371
40.801,15.3621
41.802,15.3531
42.801,15.3447
43.802,15.3355
44.801,15.3264
45.801,15.3176
46.801,15.3082
47.801,15.2997
48.801,15.2904
49.801,15.2815
50.801,15.2712
51.801,15.2626
52.801,15.2534
53.801,15.2448
54.801,15.2344
55.802,15.2246
56.801,15.2158
57.801,15.2069
58.801,15.1969
59.801,15.1882
60.801,15.1795
61.801,15.1716
62.802,15.1608
63.801,15.1524
64.801,15.1437
65.802,15.1353
66.802,15.1259
67.801,15.1171
68.801,15.1072
69.802,15.0991
70.802,15.09
71.802,15.0818
72.802,15.0729
73.801,15.0644
74.802,15.0574
75.802,15.0478
76.802,15.039
77.802,15.0304
78.802,15.0212
79.801,15.0114
80.801,15.0032
81.802,14.9951
82.801,14.9857
83.802,14.9776
84.801,14.968
85.802,14.96
86.801,14.9502
87.801,14.943
88.802,14.9335
89.802,14.9252
90.802,14.917
91.802,14.9083
92.802,14.9003
93.802,14.8909
94.802,14.8829
95.802,14.8732
96.802,14.8665
97.801,14.857
98.801,14.8475
99.801,14.84
100.801,14.8294
101.802,14.8236
102.801,14.813
103.801,14.8033
104.801,14.7964
105.801,14.7869
106.801,14.7788
107.802,14.7707
108.801,14.7603
109.802,14.7532
110.801,14.7441
111.801,14.7362
112.802,14.7278
113.801,14.7194
114.802,14.7109
115.802,14.7022
116.801,14.6927
117.801,14.6851
118.801,14.6758
119.802,14.6682
120.801,14.6593
121.801,14.6504
122.802,14.6433
123.802,14.6352
124.801,14.6259
125.801,14.6185
126.802,14.61
127.801,14.6008
128.801,14.5935
129.801,14.5854
130.802,14.5775
131.801,14.5693
132.801,14.5616
133.802,14.5512
134.802,14.5439
135.801,14.5417
136.801,14.5283
137.801,14.5196
138.802,14.5124
139.801,14.5034
140.801,14.495
141.801,14.4867
142.802,14.4793
143.801,14.4694
144.801,14.4627
145.802,14.4533
146.801,14.4451
147.801,14.4389
148.802,14.4308
149.801,14.4218
150.801,14.4143
151.801,14.4059
152.802,14.3977
153.801,14.3891
154.802,14.3827
155.801,14.3749
156.802,14.3667
157.801,14.3595
158.802,14.3504
159.801,14.3431
160.802,14.3344
161.801,14.3256
162.801,14.318
163.801,14.3098
164.802,14.3012
165.801,14.2934
166.802,14.285
167.801,14.2765
168.802,14.2677
169.801,14.2595
170.802,14.251
171.801,14.2436
172.801,14.2353
173.801,14.228
174.802,14.2192
175.801,14.2119
176.801,14.2032
177.801,14.1952
178.801,14.1869
179.802,14.1792
180.802,14.1721
181.801,14.1631
182.801,14.1545
183.801,14.1474
184.802,14.1387
185.802,14.1306
186.801,14.1233
187.801,14.1161
188.801,14.1077
189.802,14.0997
190.802,14.0917
191.801,14.0849
192.801,14.0769
193.801,14.0686
194.802,14.0604
195.802,14.0521
196.801,14.0454
197.801,14.0376
198.802,14.0303
199.801,14.0221
200.801,14.0155
201.801,14.0075
202.801,14.0021
203.802,13.9919
204.802,13.9843
205.801,13.9765
206.802,13.9685
207.801,13.9623
208.801,13.9537
209.801,13.9461
210.802,13.9379
211.801,13.9301
212.802,13.9227
213.801,13.9149
214.802,13.9074
215.801,13.899
216.801,13.8903
217.801,13.8825
218.802,13.8747
219.802,13.8673
220.801,13.859
221.802,13.8515
222.801,13.8432
223.802,13.8352
224.801,13.8274
225.802,13.8189
226.801,13.811
227.801,13.8021
228.801,13.7953
229.801,13.7875
230.802,13.7808
231.802,13.7739
232.802,13.7647
233.801,13.7576
234.801,13.7495
235.801,13.7416
236.802,13.7339
237.802,13.7249
238.801,13.7174
239.801,13.71
240.802,13.7027
241.802,13.6936
242.802,13.6875
243.801,13.6803
244.801,13.6728
245.801,13.6657
246.801,13.6594
247.801,13.6514
248.802,13.6449
249.801,13.6382
250.801,13.6301
251.802,13.6233
252.801,13.6168
253.802,13.6085
254.801,13.6017
255.801,13.5942
256.801,13.5875
257.802,13.58
258.801,13.5728
259.802,13.5657
260.801,13.5584
261.801,13.5518
262.802,13.5435
263.801,13.5373
264.802,13.5298
265.801,13.5219
266.802,13.5144
267.801,13.508
268.801,13.5004
269.802,13.4927
270.802,13.4848
271.801,13.477
272.802,13.4702
273.801,13.4617
274.802,13.4549
275.801,13.4472
276.802,13.4391
277.801,13.4318
278.802,13.4246
279.801,13.4175
280.802,13.4104
281.801,13.4024
282.802,13.3944
283.801,13.3877
284.802,13.3797
285.801,13.3728
286.802,13.365
287.801,13.3571
288.802,13.3496
289.802,13.342
290.801,13.3345
291.802,13.3278
292.801,13.3198
293.802,13.3125
294.802,13.3046
295.801,13.2969
296.802,13.2901
297.801,13.2825
298.802,13.2752
299.801,13.2669
300.802,13.2599
301.802,13.2527
302.801,13.2457
303.801,13.2379
304.802,13.2314
305.802,13.2235
306.801,13.2176
307.801,13.2096
308.802,13.2023
309.802,13.195
310.802,13.1889
311.801,13.1814
312.801,13.174
313.802,13.1659
314.801,13.1602
315.801,13.1532
316.801,13.1449
317.802,13.1381
318.802,13.1314
319.802,13.1237
320.801,13.1166
321.801,13.1103
322.801,13.103
323.802,13.0959
324.801,13.0891
325.801,13.0826
326.802,13.0748
327.801,13.0689
328.801,13.0622
329.802,13.0545
330.802,13.0481
331.801,13.0423
332.801,13.0341
333.801,13.0284
334.802,13.0201
335.802,13.0134
336.802,13.0061
337.801,13.0004
338.801,12.9932
339.802,12.9871
340.801,12.9789
341.801,12.9715
342.801,12.9651
343.802,12.9575
344.802,12.9499
345.802,12.9434
346.802,12.9364
347.802,12.9288
348.801,12.9212
349.801,12.9143
350.801,12.9074
351.802,12.9012
352.802,12.8926
353.802,12.8861
354.801,12.8797
355.801,12.8728
356.801,12.8658
357.801,12.8593
358.801,12.8519
359.801,12.8448
360.802,12.8374
361.802,12.8299
362.802,12.824
363.802,12.8164
364.802,12.8099
365.801,12.8026
366.801,12.7965
367.801,12.7885
368.801,12.7814
369.801,12.7735
370.802,12.7664
371.802,12.7598
372.802,12.7539
373.802,12.7456
374.802,12.7389
375.802,12.7321
376.802,12.7249
377.801,12.7179
378.802,12.7115
379.801,12.7058
380.802,12.6985
381.801,12.6925
382.802,12.6852
383.801,12.6785
384.802,12.6725
385.801,12.6658
386.801,12.6587
387.802,12.6527
388.802,12.645
389.801,12.6391
390.801,12.6314
391.802,12.6252
392.801,12.619
393.802,12.6119
394.802,12.6051
395.801,12.599
396.802,12.5922
397.801,12.5856
398.802,12.5787
399.801,12.5719
400.802,12.5658
401.802,12.5591
402.801,12.5516
403.801,12.5455
404.802,12.54
405.801,12.5324
406.802,12.5269
407.801,12.5198
408.801,12.5131
409.802,12.5069
410.802,12.5013
411.802,12.4942
412.802,12.4879
413.802,12.4819
414.801,12.4754
415.801,12.4689
416.802,12.4625
417.801,12.4566
418.801,12.4503
419.801,12.4433
