t (s),V (mV)
0,15.4719
1.049,15.4417
2.099,15.4201
3.124,15.3931
4.124,15.3664
5.124,15.3408
6.123,15.3134
7.123,15.2861
8.123,15.2578
9.124,15.2313
10.123,15.2031
11.124,15.1748
12.124,15.1474
13.124,15.1189
14.123,15.0913
15.124,15.0632
16.124,15.036
17.123,15.008
18.123,14.9807
19.124,14.9524
20.123,14.9275
21.123,14.8928
22.123,14.8705
23.123,14.8434
24.123,14.8189
25.124,14.7883
26.124,14.7619
27.123,14.7343
28.124,14.7078
29.124,14.6809
30.124,14.6534
31.124,14.6267
32.123,14.5993
33.123,14.5716
34.124,14.5452
35.124,14.519
36.123,14.4918
37.123,14.465
38.124,14.4383
39.124,14.4123
40.123,14.3856
41.123,14.3583
42.124,14.3327
43.123,14.306
44.123,14.2797
45.123,14.2535
46.123,14.227
47.124,14.2007
48.124,14.1749
49.124,14.1491
50.124,14.1231
51.123,14.0974
52.124,14.0713
53.123,14.0455
54.123,14.0193
55.123,13.9936
56.123,13.9678
57.123,13.9432
58.124,13.9174
59.124,13.8921
60.123,13.8667
61.123,13.8413
62.123,13.8163
63.123,13.7907
64.123,13.7652
65.124,13.7402
66.123,13.7151
67.124,13.6906
68.123,13.6652
69.123,13.6406
70.124,13.6145
71.124,13.5911
72.123,13.5659
73.124,13.541
74.123,13.5161
75.123,13.492
76.124,13.4677
77.124,13.443
78.124,13.4186
79.124,13.395
80.124,13.3702
81.123,13.346
82.123,13.3221
83.123,13.2981
84.123,13.2736
85.123,13.2493
86.123,13.2254
87.124,13.2014
88.124,13.1776
89.124,13.1526
90.124,13.1298
91.123,13.106
92.123,13.0809
93.123,13.0582
94.124,13.0339
95.124,13.0115
96.124,12.9879
97.123,12.9632
98.123,12.9409
99.124,12.9167
100.124,12.8946
101.124,12.8707
102.123,12.8477
103.123,12.8241
104.124,12.801
105.123,12.7784
106.123,12.7547
107.124,12.7313
108.123,12.7086
109.124,12.6851
110.123,12.6635
111.123,12.6394
112.124,12.6169
113.123,12.5941
114.124,12.57
115.123,12.5483
116.123,12.5255
117.124,12.5017
118.124,12.4794
119.124,12.4566
120.123,12.4344
121.123,12.4126
122.124,12.3865
123.123,12.3668
124.124,12.3438
125.123,12.3211
126.124,12.2989
127.123,12.2774
128.124,12.2547
129.123,12.2317
130.124,12.2106
131.123,12.1878
132.124,12.1639
133.123,12.1436
134.124,12.1213
135.123,12.1002
136.123,12.0781
137.123,12.0554
138.124,12.0346
139.123,12.0125
140.124,11.9908
141.123,11.9699
142.124,11.9487
143.123,11.9266
144.123,11.9043
145.124,11.8837
146.124,11.8617
147.123,11.8408
148.124,11.8204
149.124,11.7995
150.123,11.7776
151.123,11.7556
152.123,11.7356
153.123,11.7142
154.123,11.6936
155.124,11.6716
156.123,11.6511
157.124,11.6317
158.123,11.6096
159.124,11.5893
160.123,11.5688
161.123,11.5477
162.124,11.527
163.123,11.5064
164.124,11.4861
165.123,11.4667
166.123,11.4446
167.123,11.4263
168.123,11.4053
169.124,11.3859
170.123,11.3657
171.124,11.3458
172.123,11.3254
173.123,11.3054
174.123,11.2852
175.124,11.2662
176.124,11.2461
177.123,11.2268
178.124,11.2063
179.123,11.1858
180.124,11.1666
181.124,11.1467
182.123,11.1275
183.124,11.1072
184.123,11.0875
185.124,11.0681
186.124,11.0481
187.124,11.0297
188.123,11.0092
189.123,10.9905
190.123,10.9707
191.123,10.9514
192.124,10.932
193.124,10.9131
194.124,10.8942
195.123,10.8741
196.124,10.855
197.124,10.8366
198.124,10.8171
199.123,10.7986
200.123,10.7791
201.124,10.7597
202.123,10.7419
203.123,10.723
204.124,10.7033
205.124,10.6855
206.123,10.6654
207.124,10.6476
208.123,10.6278
209.123,10.6107
210.123,10.5908
211.123,10.5723
212.122,10.5539
213.123,10.5346
214.123,10.5176
215.122,10.498
216.122,10.4799
217.123,10.4615
218.122,10.4428
219.123,10.4253
220.122,10.4062
221.123,10.3885
222.122,10.3708
223.122,10.3521
224.123,10.334
225.123,10.3154
226.122,10.2978
227.123,10.2789
228.123,10.2612
229.122,10.2435
230.122,10.2251
231.123,10.2078
232.122,10.1892
233.122,10.1719
234.122,10.1539
235.123,10.1376
236.122,10.1196
237.123,10.1012
238.123,10.0838
239.122,10.0653
240.122,10.0485
241.123,10.0306
242.123,10.0132
243.123,9.9959
244.123,9.9784
245.124,9.9609
246.123,9.9434
247.124,9.9247
248.123,9.908
249.124,9.8897
250.124,9.8724
251.124,9.8547
252.124,9.8359
253.123,9.8199
254.123,9.8029
255.123,9.7854
256.124,9.7678
257.124,9.7514
258.123,9.734
259.124,9.7159
260.124,9.7002
261.123,9.6826
262.123,9.6661
263.124,9.6487
264.124,9.6323
265.123,9.6153
266.123,9.5989
267.124,9.5821
268.123,9.5657
269.123,9.5491
270.124,9.5313
271.124,9.5158
272.123,9.4985
273.123,9.4827
274.123,9.4658
