t (s),V (mV)
0,14.541
1.05,14.538
2.1,14.5332
3.145,14.5299
4.146,14.5259
5.146,14.5203
6.145,14.5137
7.145,14.5073
8.145,14.5007
9.146,14.4958
10.145,14.4888
11.146,14.4822
12.145,14.4759
13.145,14.4691
14.146,14.4631
15.145,14.4558
16.146,14.4497
17.145,14.4429
18.145,14.4365
19.145,14.4296
20.145,14.4231
21.146,14.416
22.145,14.4089
23.145,14.4023
24.145,14.396
25.146,14.3881
26.145,14.3814
27.146,14.3737
28.146,14.3672
29.145,14.3606
30.145,14.351
31.146,14.3446
32.146,14.3381
33.145,14.3302
34.145,14.3233
35.145,14.3163
36.145,14.3083
37.145,14.3019
38.146,14.2944
39.145,14.2878
40.145,14.2804
41.145,14.2721
42.145,14.266
43.145,14.2577
44.146,14.2505
45.146,14.2448
46.146,14.2366
47.145,14.2293
48.145,14.2235
49.145,14.215
50.145,14.2073
51.145,14.2003
52.145,14.1938
53.145,14.1868
54.146,14.1794
55.145,14.1718
56.146,14.1643
57.146,14.1578
58.145,14.1567
59.145,14.1493
60.145,14.1358
61.145,14.1292
62.146,14.122
63.146,14.1145
64.145,14.1072
65.145,14.099
66.145,14.0929
67.146,14.0854
68.145,14.0788
69.146,14.071
70.145,14.0637
71.145,14.0559
72.145,14.0485
73.145,14.0421
74.146,14.0352
75.145,14.0282
76.145,14.0215
77.145,14.0135
78.145,14.0066
79.145,13.9991
80.145,13.9933
81.146,13.9864
82.145,13.9788
83.146,13.9698
84.145,13.9656
85.145,13.9577
86.146,13.951
87.145,13.9445
88.146,13.9373
89.146,13.9315
90.145,13.9247
91.145,13.9175
92.145,13.911
93.146,13.9037
94.145,13.8972
95.145,13.8903
96.145,13.8837
97.146,13.8766
98.145,13.8703
99.146,13.863
100.145,13.8555
101.145,13.8489
102.146,13.8424
103.146,13.8359
104.145,13.8289
105.146,13.8217
106.145,13.8147
107.145,13.8078
108.146,13.8014
109.145,13.7927
110.145,13.7867
111.145,13.7793
112.146,13.7719
113.146,13.7655
114.145,13.7582
115.145,13.7517
116.145,13.7449
117.145,13.736
118.145,13.7292
119.145,13.7239
120.145,13.7163
121.145,13.7099
122.146,13.702
123.145,13.6952
124.145,13.6879
125.145,13.6816
126.146,13.6744
127.145,13.6677
128.145,13.6608
129.146,13.6548
130.146,13.6485
131.145,13.6421
132.145,13.6357
133.146,13.6287
134.146,13.6234
135.145,13.6181
136.146,13.6107
137.146,13.6059
138.145,13.5997
139.146,13.5931
140.145,13.5871
141.145,13.5815
142.146,13.5749
143.145,13.5666
144.145,13.5606
145.146,13.5538
146.145,13.5467
147.145,13.5402
148.146,13.5332
149.145,13.5266
150.146,13.5202
151.146,13.513
152.145,13.5057
153.146,13.4992
154.145,13.4919
155.146,13.4865
156.145,13.4799
157.146,13.4743
158.145,13.4673
159.146,13.4613
160.145,13.4553
161.146,13.4499
162.145,13.4438
163.146,13.4363
164.146,13.431
165.145,13.4252
166.145,13.4197
167.146,13.413
168.146,13.407
169.145,13.4004
170.145,13.3945
171.146,13.3878
172.145,13.3826
173.146,13.3759
174.145,13.3704
175.146,13.3645
176.146,13.357
177.146,13.3512
178.145,13.3436
